,Reuters,Fox News,Total,X,Y
China,153,114,267,0.573033708,0.426966292
Trump,33,125,158,0.208860759,0.791139241
outbreak,69,67,136,0.507352941,0.492647059
health,65,62,127,0.511811024,0.488188976
New York,64,20,84,0.761904762,0.238095238
spread,50,26,76,0.657894737,0.342105263
Wuhan,41,35,76,0.539473684,0.460526316
test,29,33,62,0.467741935,0.532258065
market,82,6,88,0.931818182,0.068181818
travel,32,36,68,0.470588235,0.529411765
world,38,28,66,0.575757576,0.424242424
stock,68,5,73,0.931506849,0.068493151
death,33,22,55,0.6,0.4
global,63,5,68,0.926470588,0.073529412
state,6,27,33,0.181818182,0.818181818
official,12,39,51,0.235294118,0.764705882
infection,15,33,48,0.3125,0.6875
fall/fell,60,0,60,1,0
points,52,0,52,1,0
patient,11,21,32,0.34375,0.65625
fears,34,4,38,0.894736842,0.105263158
American,8,22,30,0.266666667,0.733333333
economy,30,7,37,0.810810811,0.189189189
hospital,5,20,25,0.2,0.8
pandemic,12,14,26,0.461538462,0.538461538
symptoms,6,6,12,0.5,0.5
doctor,3,20,23,0.130434783,0.869565217
million,27,9,36,0.75,0.25
oil,40,0,40,1,0
SP 500,39,0,39,1,0
Korea,14,13,27,0.518518519,0.481481481
public,5,17,22,0.227272727,0.772727273
work,13,10,23,0.565217391,0.434782609
rose,36,0,36,1,0
cuts,28,3,31,0.903225806,0.096774194
question,2,4,6,0.333333333,0.666666667
passengers,9,18,27,0.333333333,0.666666667
quarantine,4,18,22,0.181818182,0.818181818
response,3,17,20,0.15,0.85
warned,13,6,19,0.684210526,0.315789474
flight,11,20,31,0.35483871,0.64516129
NASDAQ,32,0,32,1,0
ship,5,17,22,0.227272727,0.772727273
sick,2,3,5,0.4,0.6
city,13,9,22,0.590909091,0.409090909
south,14,8,22,0.636363636,0.363636364
workers,7,13,20,0.35,0.65
Italy,20,4,24,0.833333333,0.166666667
rate,18,0,18,1,0
SARS,9,9,18,0.5,0.5
medical,10,14,24,0.416666667,0.583333333
risk,8,8,16,0.5,0.5
cruise,4,18,22,0.181818182,0.818181818
mask,6,6,12,0.5,0.5
toll,14,8,22,0.636363636,0.363636364
treat,1,6,7,0.142857143,0.857142857
CDC,5,14,19,0.263157895,0.736842105
positive,6,14,20,0.3,0.7
airlines,13,9,22,0.590909091,0.409090909
index,26,0,26,1,0
number,7,10,17,0.411764706,0.588235294
billion,17,5,22,0.772727273,0.227272727
emergency,8,12,20,0.4,0.6
stay,2,10,12,0.166666667,0.833333333
Washington,8,6,14,0.571428571,0.428571429
Japan,9,12,21,0.428571429,0.571428571
senate,5,17,22,0.227272727,0.772727273
stimulus,17,6,23,0.739130435,0.260869565
countries,12,6,18,0.666666667,0.333333333
Europe,14,1,15,0.933333333,0.066666667
country,0,13,13,0,1
supply,12,4,16,0.75,0.25
face,5,6,11,0.454545455,0.545454545
help,7,5,12,0.583333333,0.416666667
national,4,9,13,0.307692308,0.692307692
crisis,6,7,13,0.461538462,0.538461538
crude,19,0,19,1,0
declares,8,7,15,0.533333333,0.466666667
disease,8,6,14,0.571428571,0.428571429
growth,13,1,14,0.928571429,0.071428571
investors,17,1,18,0.944444444,0.055555556
media,2,12,14,0.142857143,0.857142857
shares,18,1,19,0.947368421,0.052631579
social,1,7,8,0.125,0.875
price,13,4,17,0.764705882,0.235294118
democrats,1,15,16,0.0625,0.9375
federal,6,6,12,0.5,0.5
flu,0,6,6,0,1
outside,9,3,12,0.75,0.25
severe,4,4,8,0.5,0.5
vaccine,7,7,14,0.5,0.5
close,9,2,11,0.818181818,0.181818182
evacuees,8,7,15,0.533333333,0.466666667
illness,0,10,10,0,1
Iran,5,9,14,0.357142857,0.642857143
production,12,1,13,0.923076923,0.076923077
right,0,6,6,0,1
businesses,3,10,13,0.230769231,0.769230769
California,2,8,10,0.2,0.8
employee,9,5,14,0.642857143,0.357142857
panic,5,5,10,0.5,0.5
statement,5,6,11,0.454545455,0.545454545
transmission,4,6,10,0.4,0.6
bill,4,8,12,0.333333333,0.666666667
citizens,6,2,8,0.75,0.25
Dow,11,1,12,0.916666667,0.083333333
republicans,5,7,12,0.416666667,0.583333333
respiratory,3,8,11,0.272727273,0.727272727
Sanders,2,8,10,0.2,0.8
"ventilators, ",3,3,6,0.5,0.5
administration,2,7,9,0.222222222,0.777777778
international,6,6,12,0.5,0.5
OPEC,13,0,13,1,0
press,0,10,10,0,1
protective,0,5,5,0,1
restrictions,1,7,8,0.125,0.875
sign,2,4,6,0.333333333,0.666666667
airport,4,5,9,0.444444444,0.555555556
order,1,7,8,0.125,0.875
Pelosi,2,10,12,0.166666667,0.833333333
calls,2,8,10,0.2,0.8
control,2,5,7,0.285714286,0.714285714
drug,3,6,9,0.333333333,0.666666667
Hong Kong,4,7,11,0.363636364,0.636363636
Princess,1,8,9,0.111111111,0.888888889
science,3,2,5,0.6,0.4
announce,0,7,7,0,1
democratic,2,6,8,0.25,0.75
department,0,9,9,0,1
Hydroxychloroquine,0,8,8,0,1
trial,1,5,6,0.166666667,0.833333333
experts,3,3,6,0.5,0.5
foreign,2,5,7,0.285714286,0.714285714
impeachment,0,6,6,0,1