,level_0,index,Date,Newspaper,fb_sh
282,282,282,2020-02-20,MarketWatch,538
291,291,291,2020-02-21,MarketWatch,1000
299,299,299,2020-02-22,MarketWatch,1580
315,315,315,2020-02-24,MarketWatch,3897
321,321,321,2020-02-25,MarketWatch,20840
330,330,330,2020-02-26,MarketWatch,2424
339,339,339,2020-02-27,MarketWatch,11841
348,348,348,2020-02-28,MarketWatch,2872
357,357,357,2020-02-29,MarketWatch,926
365,365,365,2020-03-01,MarketWatch,2567
374,374,374,2020-03-02,MarketWatch,1460
383,383,383,2020-03-03,MarketWatch,4356
392,392,392,2020-03-04,MarketWatch,1398
401,401,401,2020-03-05,MarketWatch,2004
410,410,410,2020-03-06,MarketWatch,8808
419,419,419,2020-03-07,MarketWatch,737
428,428,428,2020-03-08,MarketWatch,44771
436,436,436,2020-03-09,MarketWatch,11539
449,449,449,2020-03-11,MarketWatch,13328
458,458,458,2020-03-12,MarketWatch,17056
467,467,467,2020-03-13,MarketWatch,57669
476,476,476,2020-03-14,MarketWatch,8602
485,485,485,2020-03-15,MarketWatch,37747
493,493,493,2020-03-16,MarketWatch,8880
502,502,502,2020-03-17,MarketWatch,1851
511,511,511,2020-03-18,MarketWatch,25551
520,520,520,2020-03-19,MarketWatch,6230
529,529,529,2020-03-20,MarketWatch,32724
538,538,538,2020-03-21,MarketWatch,2651
547,547,547,2020-03-22,MarketWatch,20345
556,556,556,2020-03-23,MarketWatch,9076
565,565,565,2020-03-24,MarketWatch,19188
574,574,574,2020-03-25,MarketWatch,5165
583,583,583,2020-03-26,MarketWatch,4703
592,592,592,2020-03-27,MarketWatch,33423
600,600,600,2020-03-28,MarketWatch,25959
609,609,609,2020-03-29,MarketWatch,5347
617,617,617,2020-03-30,MarketWatch,4071
626,626,626,2020-03-31,MarketWatch,5264
635,635,635,2020-04-01,MarketWatch,6768
643,643,643,2020-04-02,MarketWatch,7200
652,652,652,2020-04-03,MarketWatch,21990
660,660,660,2020-04-04,MarketWatch,3312
669,669,669,2020-04-05,MarketWatch,3314
678,678,678,2020-04-06,MarketWatch,10308
687,687,687,2020-04-07,MarketWatch,8579
696,696,696,2020-04-08,MarketWatch,13222
705,705,705,2020-04-09,MarketWatch,22237
713,713,713,2020-04-10,MarketWatch,8088
721,721,721,2020-04-11,MarketWatch,1261
728,728,728,2020-04-12,MarketWatch,5857
3,3,3,2020-01-09,NYTimes,597
6,6,6,2020-01-11,NYTimes,701
21,21,21,2020-01-16,NYTimes,1163
27,27,27,2020-01-17,NYTimes,1700
33,33,33,2020-01-19,NYTimes,1680
40,40,40,2020-01-20,NYTimes,2978
49,49,49,2020-01-21,NYTimes,1834
58,58,58,2020-01-22,NYTimes,992
66,66,66,2020-01-23,NYTimes,4535
81,81,81,2020-01-25,NYTimes,26
97,97,97,2020-01-27,NYTimes,49215
105,105,105,2020-01-28,NYTimes,26
114,114,114,2020-01-29,NYTimes,91
123,123,123,2020-01-30,NYTimes,1241
132,132,132,2020-01-31,NYTimes,404
141,141,141,2020-02-01,NYTimes,28
148,148,148,2020-02-02,NYTimes,4182
156,156,156,2020-02-03,NYTimes,295
165,165,165,2020-02-04,NYTimes,57
174,174,174,2020-02-05,NYTimes,109
183,183,183,2020-02-06,NYTimes,84
192,192,192,2020-02-07,NYTimes,3907
199,199,199,2020-02-08,NYTimes,4683
205,205,205,2020-02-09,NYTimes,1333
213,213,213,2020-02-10,NYTimes,5207
222,222,222,2020-02-11,NYTimes,672
233,233,233,2020-02-13,NYTimes,0
240,240,240,2020-02-14,NYTimes,0
250,250,250,2020-02-16,NYTimes,34
258,258,258,2020-02-17,NYTimes,2641
267,267,267,2020-02-18,NYTimes,12381
283,283,283,2020-02-20,NYTimes,5869
292,292,292,2020-02-21,NYTimes,3240
300,300,300,2020-02-22,NYTimes,11146
308,308,308,2020-02-23,NYTimes,9755
322,322,322,2020-02-25,NYTimes,90438
331,331,331,2020-02-26,NYTimes,25899
340,340,340,2020-02-27,NYTimes,180937
349,349,349,2020-02-28,NYTimes,63860
358,358,358,2020-02-29,NYTimes,150427
366,366,366,2020-03-01,NYTimes,23274
375,375,375,2020-03-02,NYTimes,73600
384,384,384,2020-03-03,NYTimes,6053
393,393,393,2020-03-04,NYTimes,17612
402,402,402,2020-03-05,NYTimes,25643
411,411,411,2020-03-06,NYTimes,23532
420,420,420,2020-03-07,NYTimes,26333
429,429,429,2020-03-08,NYTimes,20097
437,437,437,2020-03-09,NYTimes,11539
450,450,450,2020-03-11,NYTimes,13328
459,459,459,2020-03-12,NYTimes,17056
468,468,468,2020-03-13,NYTimes,57669
477,477,477,2020-03-14,NYTimes,8602
486,486,486,2020-03-15,NYTimes,37747
494,494,494,2020-03-16,NYTimes,51911
503,503,503,2020-03-17,NYTimes,79761
512,512,512,2020-03-18,NYTimes,82998
521,521,521,2020-03-19,NYTimes,318902
530,530,530,2020-03-20,NYTimes,192335
539,539,539,2020-03-21,NYTimes,170363
548,548,548,2020-03-22,NYTimes,303093
557,557,557,2020-03-23,NYTimes,494533
566,566,566,2020-03-24,NYTimes,53837
575,575,575,2020-03-25,NYTimes,147110
584,584,584,2020-03-26,NYTimes,479038
593,593,593,2020-03-27,NYTimes,150038
601,601,601,2020-03-28,NYTimes,106071
610,610,610,2020-03-29,NYTimes,111212
618,618,618,2020-03-30,NYTimes,109722
627,627,627,2020-03-31,NYTimes,65753
636,636,636,2020-04-01,NYTimes,74540
644,644,644,2020-04-02,NYTimes,432388
653,653,653,2020-04-03,NYTimes,429531
661,661,661,2020-04-04,NYTimes,130412
670,670,670,2020-04-05,NYTimes,199804
679,679,679,2020-04-06,NYTimes,217456
688,688,688,2020-04-07,NYTimes,215538
697,697,697,2020-04-08,NYTimes,433184
706,706,706,2020-04-09,NYTimes,186417
714,714,714,2020-04-10,NYTimes,37502
722,722,722,2020-04-11,NYTimes,73853
0,0,0,2020-01-08,Reuters,56
4,4,4,2020-01-09,Reuters,0
7,7,7,2020-01-11,Reuters,30
9,9,9,2020-01-12,Reuters,25
12,12,12,2020-01-13,Reuters,16
13,13,13,2020-01-14,Reuters,2768
17,17,17,2020-01-15,Reuters,64
22,22,22,2020-01-16,Reuters,40
28,28,28,2020-01-17,Reuters,926
31,31,31,2020-01-18,Reuters,1792
34,34,34,2020-01-19,Reuters,5513
41,41,41,2020-01-20,Reuters,9482
50,50,50,2020-01-21,Reuters,30919
67,67,67,2020-01-23,Reuters,61682
75,75,75,2020-01-24,Reuters,1765
82,82,82,2020-01-25,Reuters,10200
90,90,90,2020-01-26,Reuters,1819
98,98,98,2020-01-27,Reuters,19009
106,106,106,2020-01-28,Reuters,51671
115,115,115,2020-01-29,Reuters,28180
124,124,124,2020-01-30,Reuters,20373
133,133,133,2020-01-31,Reuters,35188
142,142,142,2020-02-01,Reuters,8172
157,157,157,2020-02-03,Reuters,27831
166,166,166,2020-02-04,Reuters,44169
175,175,175,2020-02-05,Reuters,34537
184,184,184,2020-02-06,Reuters,10222
193,193,193,2020-02-07,Reuters,10195
200,200,200,2020-02-08,Reuters,2361
206,206,206,2020-02-09,Reuters,9704
214,214,214,2020-02-10,Reuters,40906
223,223,223,2020-02-11,Reuters,47901
251,251,251,2020-02-16,Reuters,5836
259,259,259,2020-02-17,Reuters,29128
268,268,268,2020-02-18,Reuters,56180
276,276,276,2020-02-19,Reuters,32779
284,284,284,2020-02-20,Reuters,52650
293,293,293,2020-02-21,Reuters,55132
301,301,301,2020-02-22,Reuters,22131
309,309,309,2020-02-23,Reuters,44477
316,316,316,2020-02-24,Reuters,80887
323,323,323,2020-02-25,Reuters,8798
332,332,332,2020-02-26,Reuters,44691
341,341,341,2020-02-27,Reuters,60789
350,350,350,2020-02-28,Reuters,43850
367,367,367,2020-03-01,Reuters,49528
376,376,376,2020-03-02,Reuters,22173
385,385,385,2020-03-03,Reuters,95630
394,394,394,2020-03-04,Reuters,18942
403,403,403,2020-03-05,Reuters,65006
412,412,412,2020-03-06,Reuters,84590
421,421,421,2020-03-07,Reuters,17588
430,430,430,2020-03-08,Reuters,48363
438,438,438,2020-03-09,Reuters,67347
443,443,443,2020-03-10,Reuters,56248
451,451,451,2020-03-11,Reuters,120069
460,460,460,2020-03-12,Reuters,77304
469,469,469,2020-03-13,Reuters,68575
478,478,478,2020-03-14,Reuters,10861
487,487,487,2020-03-15,Reuters,54669
495,495,495,2020-03-16,Reuters,84980
504,504,504,2020-03-17,Reuters,121996
513,513,513,2020-03-18,Reuters,170628
522,522,522,2020-03-19,Reuters,65210
531,531,531,2020-03-20,Reuters,15714
540,540,540,2020-03-21,Reuters,40112
549,549,549,2020-03-22,Reuters,184093
558,558,558,2020-03-23,Reuters,48001
567,567,567,2020-03-24,Reuters,92606
576,576,576,2020-03-25,Reuters,62588
585,585,585,2020-03-26,Reuters,83231
594,594,594,2020-03-27,Reuters,44441
602,602,602,2020-03-28,Reuters,11905
611,611,611,2020-03-29,Reuters,13426
619,619,619,2020-03-30,Reuters,81830
628,628,628,2020-03-31,Reuters,71820
637,637,637,2020-04-01,Reuters,53261
645,645,645,2020-04-02,Reuters,96582
654,654,654,2020-04-03,Reuters,55823
662,662,662,2020-04-04,Reuters,10253
671,671,671,2020-04-05,Reuters,9792
680,680,680,2020-04-06,Reuters,133793
689,689,689,2020-04-07,Reuters,73252
698,698,698,2020-04-08,Reuters,98138
707,707,707,2020-04-09,Reuters,50597
715,715,715,2020-04-10,Reuters,41760
729,729,729,2020-04-12,Reuters,9667
5,5,5,2020-01-09,The Guardian,394
8,8,8,2020-01-11,The Guardian,467
14,14,14,2020-01-14,The Guardian,69
23,23,23,2020-01-16,The Guardian,412
29,29,29,2020-01-17,The Guardian,267
32,32,32,2020-01-18,The Guardian,160
35,35,35,2020-01-19,The Guardian,231
42,42,42,2020-01-20,The Guardian,2156
51,51,51,2020-01-21,The Guardian,933
59,59,59,2020-01-22,The Guardian,996
68,68,68,2020-01-23,The Guardian,4256
83,83,83,2020-01-25,The Guardian,631
99,99,99,2020-01-27,The Guardian,28
107,107,107,2020-01-28,The Guardian,96
116,116,116,2020-01-29,The Guardian,10
125,125,125,2020-01-30,The Guardian,80
134,134,134,2020-01-31,The Guardian,85
143,143,143,2020-02-01,The Guardian,34
149,149,149,2020-02-02,The Guardian,12
158,158,158,2020-02-03,The Guardian,47
167,167,167,2020-02-04,The Guardian,11
176,176,176,2020-02-05,The Guardian,75
185,185,185,2020-02-06,The Guardian,194
194,194,194,2020-02-07,The Guardian,153
201,201,201,2020-02-08,The Guardian,58
207,207,207,2020-02-09,The Guardian,1272
215,215,215,2020-02-10,The Guardian,21
224,224,224,2020-02-11,The Guardian,605
234,234,234,2020-02-13,The Guardian,0
241,241,241,2020-02-14,The Guardian,0
252,252,252,2020-02-16,The Guardian,0
260,260,260,2020-02-17,The Guardian,1904
269,269,269,2020-02-18,The Guardian,6788
285,285,285,2020-02-20,The Guardian,1600
294,294,294,2020-02-21,The Guardian,1821
302,302,302,2020-02-22,The Guardian,4296
310,310,310,2020-02-23,The Guardian,12697
324,324,324,2020-02-25,The Guardian,17085
333,333,333,2020-02-26,The Guardian,3531
342,342,342,2020-02-27,The Guardian,10398
351,351,351,2020-02-28,The Guardian,37762
359,359,359,2020-02-29,The Guardian,24081
368,368,368,2020-03-01,The Guardian,18894
377,377,377,2020-03-02,The Guardian,2117
386,386,386,2020-03-03,The Guardian,3016
395,395,395,2020-03-04,The Guardian,8889
404,404,404,2020-03-05,The Guardian,48972
413,413,413,2020-03-06,The Guardian,28205
422,422,422,2020-03-07,The Guardian,28586
431,431,431,2020-03-08,The Guardian,14264
444,444,444,2020-03-10,The Guardian,9330
452,452,452,2020-03-11,The Guardian,5114
461,461,461,2020-03-12,The Guardian,76253
470,470,470,2020-03-13,The Guardian,51163
479,479,479,2020-03-14,The Guardian,254045
488,488,488,2020-03-15,The Guardian,131584
496,496,496,2020-03-16,The Guardian,67233
505,505,505,2020-03-17,The Guardian,16882
514,514,514,2020-03-18,The Guardian,196561
523,523,523,2020-03-19,The Guardian,24007
532,532,532,2020-03-20,The Guardian,30578
541,541,541,2020-03-21,The Guardian,25386
550,550,550,2020-03-22,The Guardian,52951
559,559,559,2020-03-23,The Guardian,71008
568,568,568,2020-03-24,The Guardian,57830
577,577,577,2020-03-25,The Guardian,124600
586,586,586,2020-03-26,The Guardian,82660
595,595,595,2020-03-27,The Guardian,273209
603,603,603,2020-03-28,The Guardian,168475
612,612,612,2020-03-29,The Guardian,81233
620,620,620,2020-03-30,The Guardian,103174
629,629,629,2020-03-31,The Guardian,127947
646,646,646,2020-04-02,The Guardian,51175
655,655,655,2020-04-03,The Guardian,7555
663,663,663,2020-04-04,The Guardian,38909
672,672,672,2020-04-05,The Guardian,81616
681,681,681,2020-04-06,The Guardian,191754
690,690,690,2020-04-07,The Guardian,65556
699,699,699,2020-04-08,The Guardian,32946
708,708,708,2020-04-09,The Guardian,68556
716,716,716,2020-04-10,The Guardian,57758
723,723,723,2020-04-11,The Guardian,12929
730,730,730,2020-04-12,The Guardian,46462
43,43,43,2020-01-20,WSJ,1799
52,52,52,2020-01-21,WSJ,209
60,60,60,2020-01-22,WSJ,5
69,69,69,2020-01-23,WSJ,346
76,76,76,2020-01-24,WSJ,471
84,84,84,2020-01-25,WSJ,133
91,91,91,2020-01-26,WSJ,281
100,100,100,2020-01-27,WSJ,930
108,108,108,2020-01-28,WSJ,95
117,117,117,2020-01-29,WSJ,329
126,126,126,2020-01-30,WSJ,192
135,135,135,2020-01-31,WSJ,1314
144,144,144,2020-02-01,WSJ,621
150,150,150,2020-02-02,WSJ,38
159,159,159,2020-02-03,WSJ,143
168,168,168,2020-02-04,WSJ,43
177,177,177,2020-02-05,WSJ,826
186,186,186,2020-02-06,WSJ,323
195,195,195,2020-02-07,WSJ,268
202,202,202,2020-02-08,WSJ,164
216,216,216,2020-02-10,WSJ,524
225,225,225,2020-02-11,WSJ,710
227,227,227,2020-02-12,WSJ,0
235,235,235,2020-02-13,WSJ,0
242,242,242,2020-02-14,WSJ,0
244,244,244,2020-02-15,WSJ,0
253,253,253,2020-02-16,WSJ,0
261,261,261,2020-02-17,WSJ,1030
270,270,270,2020-02-18,WSJ,636
277,277,277,2020-02-19,WSJ,3981
286,286,286,2020-02-20,WSJ,1028
295,295,295,2020-02-21,WSJ,631
303,303,303,2020-02-22,WSJ,371
311,311,311,2020-02-23,WSJ,3300
317,317,317,2020-02-24,WSJ,17674
325,325,325,2020-02-25,WSJ,5925
334,334,334,2020-02-26,WSJ,1942
343,343,343,2020-02-27,WSJ,6512
352,352,352,2020-02-28,WSJ,1564
360,360,360,2020-02-29,WSJ,3364
369,369,369,2020-03-01,WSJ,5431
378,378,378,2020-03-02,WSJ,3524
387,387,387,2020-03-03,WSJ,6208
396,396,396,2020-03-04,WSJ,19368
405,405,405,2020-03-05,WSJ,2114
414,414,414,2020-03-06,WSJ,5097
423,423,423,2020-03-07,WSJ,3751
432,432,432,2020-03-08,WSJ,536
439,439,439,2020-03-09,WSJ,8439
445,445,445,2020-03-10,WSJ,1576
453,453,453,2020-03-11,WSJ,7681
462,462,462,2020-03-12,WSJ,132042
471,471,471,2020-03-13,WSJ,4620
480,480,480,2020-03-14,WSJ,7768
489,489,489,2020-03-15,WSJ,5413
497,497,497,2020-03-16,WSJ,8890
506,506,506,2020-03-17,WSJ,24653
515,515,515,2020-03-18,WSJ,24952
524,524,524,2020-03-19,WSJ,17164
533,533,533,2020-03-20,WSJ,40135
542,542,542,2020-03-21,WSJ,5054
551,551,551,2020-03-22,WSJ,19380
560,560,560,2020-03-23,WSJ,14392
569,569,569,2020-03-24,WSJ,44046
578,578,578,2020-03-25,WSJ,9971
587,587,587,2020-03-26,WSJ,16039
596,596,596,2020-03-27,WSJ,7950
604,604,604,2020-03-28,WSJ,13185
613,613,613,2020-03-29,WSJ,15405
621,621,621,2020-03-30,WSJ,18333
630,630,630,2020-03-31,WSJ,13872
638,638,638,2020-04-01,WSJ,7208
647,647,647,2020-04-02,WSJ,1311
656,656,656,2020-04-03,WSJ,66960
664,664,664,2020-04-04,WSJ,17338
673,673,673,2020-04-05,WSJ,22869
682,682,682,2020-04-06,WSJ,7853
691,691,691,2020-04-07,WSJ,12707
700,700,700,2020-04-08,WSJ,26331
709,709,709,2020-04-09,WSJ,29858
717,717,717,2020-04-10,WSJ,8453
724,724,724,2020-04-11,WSJ,1342
731,731,731,2020-04-12,WSJ,4352
